id_venda,data,loja,vendedor,produto,categoria,qtd,preco_unit,desconto,forma_pgto
1,2025-04-17,centro ,Eduardo,Meia,Acessórios,2,19.9,0.2,Dinheiro
2,2025-04-10,centro ,Carla,Tênis,Calçados,2,249.9,0.0,Cartão
3,2025-10-04,Centro,Diego,Calça,Roupas,5,129.9,0.0,Pix
4,2025-06-19,centro ,Diego,,Roupas,3,59.9,0.05,Dinheiro
5,2025-05-11,Centro,Carla,Meia,Acessórios,1,19.9,0.05,Dinheiro
6,2025-11-12,Shopping,Bruno,Calça,Roupas,2,129.9,0.15,Pix
7,2025-09-21,Bairro,Carla,Calça,Roupas,4,129.9,0.05,Cartão
8,2025-02-23,Shopping,Diego,Meia,Acessórios,2,19.9,0.0,Cartão
9,2025-09-27,Bairro,Diego,Meia,Acessórios,5,19.9,0.15,Pix
10,2025-10-07,Shopping,Ana,Calça,Roupas,4,129.9,0.05,Pix
11,2025-10-28,Centro,Ana,,Roupas,1,59.9,0.0,Dinheiro
12,2025-06-12,Bairro,Ana,Tênis,Calçados,2,249.9,0.0,Dinheiro
13,2025-05-15,Centro,Diego,Calça,Roupas,5,129.9,0.0,Dinheiro
14,2025-02-04,Centro,Carla,Meia,Acessórios,3,19.9,0.05,Pix
15,2025-09-12,Shopping,Carla,Boné,Acessórios,2,49.9,0.05,Cartão
16,2025-03-04,centro ,Ana,Meia,Acessórios,4,19.9,0.0,Cartão
17,2025-08-25,Bairro,Carla,Boné,Acessórios,5,49.9,0.0,Dinheiro
18,2025-10-11,Shopping,Bruno,Tênis,Calçados,1,249.9,0.05,Pix
19,2025-02-13,centro ,Carla,Meia,Acessórios,4,19.9,0.1,Pix
20,2025-10-10,Shopping,Ana,Camiseta,Roupas,1,59.9,0.0,Dinheiro
21,2025-06-14,Centro,Carla,Tênis,Calçados,3,249.9,0.0,Cartão
22,2025-11-14,Centro,Bruno,Camiseta,Roupas,2,59.9,0.0,Dinheiro
23,2025-03-22,Bairro,Ana,,Roupas,4,59.9,0.0,Cartão
24,2025-05-06,Shopping,Eduardo,Boné,Acessórios,4,49.9,0.0,Dinheiro
25,2025-09-12,Shopping,Eduardo,Tênis,Calçados,3,249.9,0.0,Dinheiro
26,2025-07-06,Shopping,Eduardo,Camiseta,Roupas,4,59.9,0.0,Dinheiro
