ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,forma_de_venda,Regiao,Faturamento,Região
90270,2023-01-01,São Paulo,Mouse Gamer,120.0,1,Cliente_6418,Presencial,Sudeste,120.0,Sudeste
39483,2023-01-01,São Paulo,Mouse Gamer,120.0,1,Cliente_1274,Presencial,Sudeste,120.0,Sudeste
48375,2023-01-01,São Paulo,Mouse Gamer,120.0,1,Cliente_1544,Presencial,Sudeste,120.0,Sudeste
53171,2023-01-01,São Paulo,Teclado Mecânico,250.0,1,Cliente_19747,Presencial,Sudeste,250.0,Sudeste
59136,2023-01-01,São Paulo,Teclado Mecânico,250.0,1,Cliente_14239,Presencial,Sudeste,250.0,Sudeste
41071,2023-01-01,São Paulo,Teclado Mecânico,250.0,2,Cliente_11176,Presencial,Sudeste,500.0,Sudeste
251,2023-01-01,São Paulo,Teclado Mecânico,250.0,3,Cliente_22822,Presencial,Sudeste,750.0,Sudeste
62583,2023-01-01,São Paulo,Notebook HP,3200.0,1,Cliente_16151,Presencial,Sudeste,3200.0,Sudeste
19307,2023-01-01,São Paulo,Notebook HP,3200.0,1,Cliente_15962,Presencial,Sudeste,3200.0,Sudeste
53437,2023-01-01,São Paulo,Notebook Dell,3500.0,1,Cliente_1245,Presencial,Sudeste,3500.0,Sudeste
13090,2023-01-01,São Paulo,Notebook Dell,3500.0,1,Cliente_9087,Presencial,Sudeste,3500.0,Sudeste
65754,2023-01-01,São Paulo,iPhone 14,5500.0,1,Cliente_10437,Presencial,Sudeste,5500.0,Sudeste
47465,2023-01-01,São Paulo,iPhone 14,5500.0,3,Cliente_7589,Presencial,Sudeste,16500.0,Sudeste
29418,2023-01-01,São Paulo,iPhone 14,5500.0,5,Cliente_1329,Presencial,Sudeste,27500.0,Sudeste
89400,2023-01-02,São Paulo,Cabo HDMI,40.0,1,Cliente_23051,Presencial,Sudeste,40.0,Sudeste
15061,2023-01-02,São Paulo,Mouse Gamer,120.0,1,Cliente_8305,Presencial,Sudeste,120.0,Sudeste
81208,2023-01-02,São Paulo,Mouse Gamer,120.0,1,Cliente_16992,Presencial,Sudeste,120.0,Sudeste
51029,2023-01-02,São Paulo,Mouse Gamer,120.0,1,Cliente_5009,Presencial,Sudeste,120.0,Sudeste
9394,2023-01-02,São Paulo,Cabo HDMI,40.0,5,Cliente_2084,Presencial,Sudeste,200.0,Sudeste
43320,2023-01-02,São Paulo,Mouse Gamer,120.0,2,Cliente_19425,Presencial,Sudeste,240.0,Sudeste
73891,2023-01-02,São Paulo,Mouse Gamer,120.0,2,Cliente_29083,Presencial,Sudeste,240.0,Sudeste
34533,2023-01-02,São Paulo,Mouse Gamer,120.0,2,Cliente_27718,Presencial,Sudeste,240.0,Sudeste
92990,2023-01-02,São Paulo,Teclado Mecânico,250.0,1,Cliente_10005,Presencial,Sudeste,250.0,Sudeste
85148,2023-01-02,São Paulo,Teclado Mecânico,250.0,1,Cliente_7124,Presencial,Sudeste,250.0,Sudeste
71124,2023-01-02,São Paulo,Teclado Mecânico,250.0,1,Cliente_12106,Presencial,Sudeste,250.0,Sudeste
55766,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_9295,Presencial,Sudeste,1200.0,Sudeste
93834,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_9954,Presencial,Sudeste,1200.0,Sudeste
83803,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_29857,Presencial,Sudeste,1200.0,Sudeste
12990,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_2598,Presencial,Sudeste,1200.0,Sudeste
32644,2023-01-02,São Paulo,Smartphone Samsung,2200.0,1,Cliente_1904,Presencial,Sudeste,2200.0,Sudeste
73840,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_4694,Presencial,Sudeste,5500.0,Sudeste
76565,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_16854,Presencial,Sudeste,5500.0,Sudeste
23258,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_7254,Presencial,Sudeste,5500.0,Sudeste
89139,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_11210,Presencial,Sudeste,5500.0,Sudeste
27096,2023-01-02,São Paulo,Notebook Dell,3500.0,3,Cliente_29144,Presencial,Sudeste,10500.0,Sudeste
35914,2023-01-02,São Paulo,iPhone 14,5500.0,2,Cliente_7156,Presencial,Sudeste,11000.0,Sudeste
30197,2023-01-03,São Paulo,Cabo HDMI,40.0,1,Cliente_5088,Presencial,Sudeste,40.0,Sudeste
97755,2023-01-03,São Paulo,Teclado Mecânico,250.0,1,Cliente_27296,Presencial,Sudeste,250.0,Sudeste
